merchant_id,name
M044961,"PT MITRA BUSANA SENTOSA"
M044988,"PT. PANIN DAI - ICHI LIFE"
M044973,ATN-SPORT
M044997,IXVI
M044991,Bukuunik
M044970,Wakatobi
M045003,Fairden
M044565,SukaOutdoor
M045009,"GEODESI 65TAHUN-IPG"
M045012,"Giorgio Agnelli"
M044946,Eciputra
M045018,"PT JUARA Beauty Indonesia"
M045027,"Jarvis Store"
M045024,"Coral (PT Koneksi Integrasi)"
M045030,"PROGO PAC"
M045033,"KEMBANG PAC"
M045036,"GRAHA CIUMBULEUIT PAC"
M045048,"Indonesia Finance Today"
M045042,Jeruknipis
M045060,"Atelier de Liberte"
M045039,"Deals - Mister Aladin"
M045072,Pingshop.id
M045066,"lifestyle ubsgold.com"
M044994,"Liliput Store"
M045051,DriveBali
M008077,"Royale Collier"
M045006,"Elim Persada"
M045084,"Daruga Perkasa"
M045000,"PILATUS PAC"
M006786,"Party Gaga"
M028402,MORUKA
M044898,"PT. Core Media Indonesia"
M045093,Campaign.com
M044895,"botanical private villas"
M044967,"Royal Asia Hotel"
M045090,"Label Eight"
M045108,"PT. Jurnal Consulting"
M045117,"MAESTRO BALI"
M045123,"Kalapa Villa Resort"
M045087,ManaKreasiMu
M045129,Kliknklik
M045120,"Kawung Living"
M045114,"DE REIZ VILLA PAC"
M045126,"Dokter Post"
M044901,"Fonebox Fashion"
M045138,"Naked Press"
M045135,MATROISHKA
M045147,"Boulter Helmet"
M045156,aphhomedecor
M045153,"Durio Indigo"
M045162,"Acinti Prima"
M045150,"Plaza Hidayah"
M045195,Tatagraha
M045186,"DULANG PAC"
M045192,"SERENA PAC"
M045165,Storm
M045201,unique-bike.com
M045174,"Bee Accounting"
M045198,"Kita Peduli"
M045144,"hatma fashion"
M045159,"Goinsta Interactive Ind"
M045207,Asuransi88
M045228,"Franc Nobel"
M044907,"EIGERINDO STORE"
M045219,Bornevia
M045210,AXIQoe
M044676,Glamizka
M045237,ShelookRED
M045177,"Carl's Shop"
M045240,DesignDonesia
