id,decision,friendly_name,aasm_state,identifier,override,approved_at
55281,deny,Card number is restricted,approved,CB0021485,1,2015-08-04 05:54:00
55283,deny,Card number is restricted,approved,CB0021485,1,2015-08-04 05:54:03
55285,deny,Card number is restricted,approved,CB0021486,1,2015-08-04 05:54:08
55287,deny,Card number is restricted,approved,CB0021486,1,2015-08-04 05:54:10
55289,deny,Card number is restricted,approved,CB0021487,1,2015-08-04 05:54:15
55291,deny,Card number is restricted,approved,CB0021487,1,2015-08-04 05:54:17
55293,deny,Card number is restricted,approved,CB0021488,1,2015-08-04 05:54:23
55295,deny,Customer phone is restricted,approved,CB0021488,1,2015-08-04 05:54:25
55297,deny,Email address is restricted,approved,CB0021488,1,2015-08-04 05:54:30
55299,deny,Card number is restricted,approved,CB0021489,1,2015-08-04 05:54:31
55303,deny,Card number is restricted,approved,CB0021489,1,2015-08-04 05:54:46
55301,deny,Card number is restricted,approved,CB0021490,1,2015-08-04 05:54:46
55305,deny,Customer phone is restricted,approved,CB0021491,1,2015-08-04 05:55:01
55307,deny,Card number is restricted,approved,CB0021491,1,2015-08-04 05:55:01
55309,deny,Card number is restricted,approved,CB0021492,1,2015-08-04 05:55:17
55311,deny,Card number is restricted,approved,CB0021493,1,2015-08-04 05:55:24
55313,deny,Card number is restricted,approved,CB0021494,1,2015-08-04 05:55:32
55315,deny,Card number is restricted,approved,CB0021495,1,2015-08-04 05:55:39
55317,deny,Email address is restricted,approved,CB0021495,1,2015-08-04 05:55:46
55319,deny,Card number is restricted,approved,CB0021496,1,2015-08-04 05:55:47
55321,deny,Card number is restricted,approved,CB0021497,1,2015-08-04 05:56:01
55323,deny,Card number is restricted,approved,CB0021497,1,2015-08-04 05:56:01
55325,deny,Card number is restricted,approved,CB0021498,1,2015-08-04 05:56:15
55327,deny,Customer phone is restricted,approved,CB0021498,1,2015-08-04 05:56:17
55329,deny,Card number is restricted,approved,CB0021499,1,2015-08-04 05:56:29
55331,deny,Customer phone is restricted,approved,CB0021500,1,2015-08-04 05:56:39
55333,deny,Customer phone is restricted,approved,CB0021501,1,2015-08-04 05:56:47
55335,deny,Email address is restricted,approved,CB0021502,1,2015-08-04 06:00:23
55337,deny,Card number is restricted,approved,CB0021503,1,2015-08-04 06:00:30
55339,deny,Card number is restricted,approved,CB0021504,1,2015-08-04 06:01:50
55341,deny,Card number is restricted,approved,CB0021505,1,2015-08-04 06:01:57
55343,deny,Card number is restricted,approved,CB0021506,1,2015-08-04 06:02:04
55345,deny,Email address is restricted,approved,CB0021507,1,2015-08-04 07:39:21
55347,deny,Card number is restricted,approved,CB0021508,1,2015-08-04 07:39:28
55349,deny,Email address is restricted,approved,CB0021509,1,2015-08-04 07:42:55
55351,deny,Card number is restricted,approved,CB0021510,1,2015-08-04 07:43:02
55353,deny,Card number is restricted,approved,CB0021511,1,2015-08-04 07:43:10
55355,deny,Customer phone is restricted,approved,CB0021512,1,2015-08-04 07:43:18
55387,deny,Email address is restricted,approved,CB0021513,1,2015-08-05 04:17:16
55389,deny,Card number is restricted,approved,CB0021514,1,2015-08-05 04:17:23
55391,deny,Customer phone is restricted,approved,CB0021515,1,2015-08-05 04:17:31
55393,deny,Card number is restricted,approved,CB0021516,1,2015-08-05 04:29:31
55395,deny,Card number is restricted,approved,CB0021517,1,2015-08-05 04:29:39
55397,deny,Card number is restricted,approved,CB0021518,1,2015-08-05 04:29:47
55399,deny,Customer phone is restricted,approved,CB0021519,1,2015-08-05 04:29:54
55401,deny,Customer phone is restricted,approved,CB0021520,1,2015-08-05 04:30:02
55403,deny,Customer phone is restricted,approved,CB0021521,1,2015-08-05 04:30:10
